x,y,marks.cause,marks.burnt.area,marks.date
0.028372465,0.724375,intentional,0.02,03/01/2006
0.24839007,-0.593535,accident,0.08,04/01/2006
0.34950503,0.02153495,intentional,0.65,04/01/2006
0.550895085,0.0907051,accident,0.01,04/01/2006
0.23609496,0.3635001,accident,0.8,04/01/2006
0.700499925,-0.260625,intentional,0.03,05/01/2006
-0.313832525,-0.275625,accident,0.4,05/01/2006
-0.31363265,-0.275625,accident,0.1,05/01/2006
0.667525145,-0.1015351,accident,0.01,05/01/2006
0.157995,0.21308495,accident,0.03,06/01/2006
0.219839925,0.8051251,accident,0.2,06/01/2006
-0.76922892,0.12437505,intentional,11.3,06/01/2006
0.55810997,-0.26962495,accident,0.6,07/01/2006
0.6388151,-0.588095,accident,0.04,07/01/2006
0.729259935,0.05046505,intentional,0.85,07/01/2006
-0.55843575,0.2243751,intentional,1.3,07/01/2006
-0.663832635,0.2243751,accident,0.6,07/01/2006
-0.622227055,-0.32562495,accident,1.56,08/01/2006
0.075174595,-0.575625,intentional,0.03,08/01/2006
-0.001240415,0.52437505,accident,0.01,08/01/2006
-0.26862939,-0.52562505,intentional,0.03,09/01/2006
-0.07302672,0.724375,intentional,0.7,09/01/2006
-0.701440115,0.17437495,accident,0.2,09/01/2006
-0.85360995,-0.0727299,accident,0.5,09/01/2006
-0.58718497,0.10852995,accident,2,09/01/2006
-0.42242701,0.2243751,accident,2,09/01/2006
-0.663432885,0.274375,accident,0.3,10/01/2006
-0.46882919,0.274375,intentional,0.75,10/01/2006
0.02337499,0.63662505,intentional,0.12,27/01/2006
0.650450025,-0.68184995,accident,0.2,03/02/2006
0.42766995,-0.6426049,accident,0.01,04/02/2006
-0.471827315,-0.02562495,accident,0.01,04/02/2006
0.127573025,-0.3756251,accident,0.02,05/02/2006
0.1277729,-0.3756251,accident,0.05,05/02/2006
0.239359915,0.2326499,accident,1.34,06/02/2006
-0.00263954,0.52437505,accident,3,06/02/2006
-0.019228965,0.62437495,accident,4,06/02/2006
0.1261739,0.724375,other,0.2,06/02/2006
-0.82582493,0.0743751,accident,6.5,06/02/2006
-0.924425665,0.0743751,accident,0.3,06/02/2006
0.307540075,-0.6352349,accident,5.42,07/02/2006
-0.103669955,0.56724505,accident,25,07/02/2006
0.022985035,0.521285,accident,2.5,07/02/2006
-0.620228305,0.17437495,intentional,0.01,07/02/2006
-0.72500538,0.0743751,accident,4,07/02/2006
-0.558235875,0.2243751,intentional,12,07/02/2006
-0.47162744,0.2243751,accident,4,07/02/2006
-0.57362625,0.17437495,intentional,2,07/02/2006
-0.12382615,-0.575625,intentional,0.03,09/02/2006
-0.441845065,-0.56482495,intentional,0.02,09/02/2006
0.41391495,0.38993495,accident,0.03,09/02/2006
0.171754995,-0.18760005,accident,4.5,10/02/2006
-0.772626795,-0.3756251,intentional,0.5,10/02/2006
-0.700240865,0.17437495,intentional,0.25,10/02/2006
-0.517829945,-0.0756251,intentional,2.2,10/02/2006
-0.509835145,0.274375,intentional,12,10/02/2006
-0.50963527,0.274375,intentional,0.2,10/02/2006
0.05878005,0.18381005,accident,0.7,15/02/2006
0.37637003,-0.6876999,accident,1.5,18/02/2006
-0.463832515,-0.32562495,intentional,0.3,27/02/2006
0.40101502,0.1585101,accident,0.5,03/03/2006
-0.222427085,0.12437505,accident,0.01,03/03/2006
0.3717851,0.1431501,accident,0.02,04/03/2006
0.46362506,0.6567099,accident,4.6,04/03/2006
-0.70323899,0.17437495,intentional,21,06/03/2006
-0.1178299,-0.47562495,accident,1.05,07/03/2006
0.07622494,0.7008751,accident,4.2,07/03/2006
-0.523826195,-0.02562495,accident,2,07/03/2006
0.012189985,0.71711015,accident,0.06,08/03/2006
-0.54789494,0.3078601,accident,0.2,08/03/2006
0.368385025,-0.008015,accident,0.04,09/03/2006
0.22857246,0.62437495,intentional,0.03,09/03/2006
-0.874885445,0.17437495,intentional,0.8,09/03/2006
-0.70124024,0.17437495,intentional,0.05,09/03/2006
0.34354496,-0.61391005,accident,1.4,10/03/2006
-0.46603114,-0.52562505,intentional,0.05,10/03/2006
-0.07422597,0.574375,accident,0.25,10/03/2006
-0.074026095,0.574375,accident,0.25,10/03/2006
-0.808380035,0.0712051,accident,2.07,10/03/2006
0.05928993,0.56585995,accident,15,13/03/2006
0.302390095,-0.6467649,accident,2,14/03/2006
0.27097994,0.5339401,accident,0.02,14/03/2006
0.02385509,0.46958995,accident,0.7,14/03/2006
-0.106037275,0.17437495,intentional,4.4,14/03/2006
0.340639975,-0.47482505,accident,1.22,15/03/2006
0.242449985,0.2378251,accident,0.2,15/03/2006
0.028772215,0.724375,accident,0.01,15/03/2006
0.460904965,-0.1127351,accident,0.01,16/03/2006
0.41315003,0.18251505,intentional,0.06,16/03/2006
0.494209935,-0.722065,intentional,0.02,19/03/2006
0.38019504,-0.68201005,accident,0.01,21/03/2006
0.637749965,-0.71917505,intentional,0.02,22/03/2006
0.353099985,-0.701965,accident,0.02,25/03/2006
0.627594915,-0.2774049,accident,0.15,25/03/2006
0.481094935,-0.74790505,accident,0.53,26/03/2006
0.50958492,-0.6215301,accident,0.08,27/03/2006
0.355910025,-0.6902499,intentional,0.75,27/03/2006
-0.3140324,-0.275625,intentional,0.35,27/03/2006
0.42161993,-0.6841949,accident,0.8,28/03/2006
0.403815065,-0.7343849,accident,1.8,29/03/2006
0.92671505,-0.46816,accident,0.01,30/03/2006
0.48347005,-0.71783505,intentional,0.2,31/03/2006
0.136190035,0.5109151,accident,1,02/04/2006
0.643335075,-0.60185,accident,0.2,03/04/2006
0.21833007,0.604125,accident,0.5,04/04/2006
-0.026205,0.63837995,accident,0.18,04/04/2006
0.17537433,0.724375,accident,5.5,06/04/2006
0.091005095,0.26004,intentional,0.86,07/04/2006
0.076373845,0.62437495,accident,4,07/04/2006
-0.364632155,0.12437505,intentional,1.03,07/04/2006
-0.95875999,0.18226005,accident,50.6,07/04/2006
-0.015231665,-0.12562505,intentional,1.5,08/04/2006
-0.269029145,-0.52562505,intentional,3.2,08/04/2006
-0.62242693,0.12437505,accident,1,08/04/2006
-0.466630565,-0.52562505,accident,1,09/04/2006
-0.123626275,-0.575625,intentional,0.35,09/04/2006
-0.17302658,-0.12562505,intentional,0.2,10/04/2006
-0.27402602,0.2243751,intentional,0.1,13/04/2006
0.027173215,0.67437485,accident,0.2,14/04/2006
0.12737315,-0.3756251,intentional,0.03,25/04/2006
0.537924995,-0.61922995,lightning,0.01,27/04/2006
0.25434994,0.2284849,intentional,1,27/04/2006
0.18296958,0.47437495,accident,0.05,27/04/2006
0.810255085,-0.49878005,lightning,0.9,28/04/2006
0.11708998,0.67202995,intentional,6.9,29/04/2006
0.73406993,-0.25074,accident,0.22,30/04/2006
0.182769705,0.47437495,other,0.03,02/05/2006
0.02577409,0.82437505,intentional,0.01,02/05/2006
0.31055999,-0.83596,accident,0.06,04/05/2006
